,DATE,UNRATENSA,UNRATE_WOMEN,UNRATE_MEN,UNRATE_AA,UNRATE_LATINO,UNRATE_WHITE,UNRATE_ASIAN,UNRATE_AGR,UNRATE_CNSTRCT,UNRATE_LSR_HSPT,UNRATE_MNFCT,UNRATE_ED_HLTH_SVCES,UNRATE_FARM_FISH_FOREST,UNRATE_FIN,UNRATE_INFO,UNRATE_MGMT_FIN_OPS,UNRATE_MINING_ETC,UNRATE_NATRES_MAINT,UNRATE_OFFICE_ADMIN,UNRATE_PRO,UNRATE_PRO_BUS,UNRATE_PROD,UNRATE_SALES,UNRATE_SELF,UNRATE_SVCE,UNRATE_TRANSP_UTIL,UNRATE_WHLSL_RTL
0,1948-01-01,4.0,3.5,4.2,,,,,,,,,,,,,,,,,,,,,,,,
1,1948-02-01,4.7,4.8,4.7,,,,,,,,,,,,,,,,,,,,,,,,
2,1948-03-01,4.5,4.4,4.5,,,,,,,,,,,,,,,,,,,,,,,,
3,1948-04-01,4.0,4.1,4.0,,,,,,,,,,,,,,,,,,,,,,,,
4,1948-05-01,3.4,3.4,3.3,,,,,,,,,,,,,,,,,,,,,,,,
5,1948-06-01,3.9,5.0,3.4,,,,,,,,,,,,,,,,,,,,,,,,
6,1948-07-01,3.9,4.8,3.5,,,,,,,,,,,,,,,,,,,,,,,,
7,1948-08-01,3.6,4.5,3.3,,,,,,,,,,,,,,,,,,,,,,,,
8,1948-09-01,3.4,4.0,3.1,,,,,,,,,,,,,,,,,,,,,,,,
9,1948-10-01,2.9,3.4,2.6,,,,,,,,,,,,,,,,,,,,,,,,
10,1948-11-01,3.3,3.8,3.1,,,,,,,,,,,,,,,,,,,,,,,,
11,1948-12-01,3.6,3.7,3.6,,,,,,,,,,,,,,,,,,,,,,,,
12,1949-01-01,5.0,4.6,5.2,,,,,,,,,,,,,,,,,,,,,,,,
13,1949-02-01,5.8,5.2,6.0,,,,,,,,,,,,,,,,,,,,,,,,
14,1949-03-01,5.6,4.7,6.0,,,,,,,,,,,,,,,,,,,,,,,,
15,1949-04-01,5.4,5.3,5.5,,,,,,,,,,,,,,,,,,,,,,,,
16,1949-05-01,5.7,5.7,5.8,,,,,,,,,,,,,,,,,,,,,,,,
17,1949-06-01,6.4,6.9,6.2,,,,,,,,,,,,,,,,,,,,,,,,
18,1949-07-01,7.0,7.5,6.8,,,,,,,,,,,,,,,,,,,,,,,,
19,1949-08-01,6.3,6.9,6.1,,,,,,,,,,,,,,,,,,,,,,,,
20,1949-09-01,5.9,6.7,5.5,,,,,,,,,,,,,,,,,,,,,,,,
21,1949-10-01,6.1,5.9,6.2,,,,,,,,,,,,,,,,,,,,,,,,
22,1949-11-01,5.7,6.2,5.5,,,,,,,,,,,,,,,,,,,,,,,,
23,1949-12-01,6.0,5.9,6.1,,,,,,,,,,,,,,,,,,,,,,,,
24,1950-01-01,7.6,7.3,7.8,,,,,,,,,,,,,,,,,,,,,,,,
25,1950-02-01,7.9,7.4,8.1,,,,,,,,,,,,,,,,,,,,,,,,
26,1950-03-01,7.1,6.7,7.2,,,,,,,,,,,,,,,,,,,,,,,,
27,1950-04-01,6.0,5.3,6.2,,,,,,,,,,,,,,,,,,,,,,,,
28,1950-05-01,5.3,5.5,5.2,,,,,,,,,,,,,,,,,,,,,,,,
29,1950-06-01,5.6,6.7,5.1,,,,,,,,,,,,,,,,,,,,,,,,
30,1950-07-01,5.3,6.2,4.9,,,,,,,,,,,,,,,,,,,,,,,,
31,1950-08-01,4.1,4.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,
32,1950-09-01,4.0,5.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,
33,1950-10-01,3.3,4.2,2.9,,,,,,,,,,,,,,,,,,,,,,,,
34,1950-11-01,3.8,5.2,3.1,,,,,,,,,,,,,,,,,,,,,,,,
35,1950-12-01,3.9,4.5,3.6,,,,,,,,,,,,,,,,,,,,,,,,
36,1951-01-01,4.4,5.0,4.1,,,,,,,,,,,,,,,,,,,,,,,,
37,1951-02-01,4.2,4.8,3.9,,,,,,,,,,,,,,,,,,,,,,,,
38,1951-03-01,3.8,5.0,3.2,,,,,,,,,,,,,,,,,,,,,,,,
39,1951-04-01,3.2,4.3,2.7,,,,,,,,,,,,,,,,,,,,,,,,
40,1951-05-01,2.9,4.0,2.3,,,,,,,,,,,,,,,,,,,,,,,,
41,1951-06-01,3.4,4.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
42,1951-07-01,3.3,4.3,2.8,,,,,,,,,,,,,,,,,,,,,,,,
43,1951-08-01,2.9,3.9,2.4,,,,,,,,,,,,,,,,,,,,,,,,
